partner,amount,bankCardInfo.bankCode,city,companyInfo.companyName,companyInfo.industry,companyInfo.occupation,customerSource,degree,idInfo.birthDate,idInfo.gender,idInfo.nation,idInfo.validityDate,income,jobFunctions,linkmanList.0.relationship,linkmanList.1.relationship,maritalStatus,pictureInfo.0.faceScore,province,purpose,resideFunctions,term,deviceInfo.gpsLatitude,deviceInfo.gpsLongitude,deviceInfo.osType,deviceInfo.isCrossDomain,partner_label
LXJ_CODE,100000,307.0,天津市,中国联通,G,13.0,XCX,3,40.7,M,汉,3274,2,,PARENTS,COLLEAGUE,1.0,70.0,天津市,CONSUME,1.0,,39.11697564019097,117.15533474392362,ANDROID,False,0
AWJ_CODE,100000,103.0,唐山市,阿信农产品,H,54.0,APP,3,24.4,M,汉,1240,3,1.0,PARENTS,FRIENDS,2.0,70.0,河北省,CONSUME,1.0,,39.75741034609977,118.77763845921592,ANDROID,,0
LXJ_CODE,100000,105.0,南平市,福建省万亿保安服务有限公司福州分公司,O,17.0,APP,3,37.3,M,汉,5074,2,1.0,MATE,OTHER,1.0,70.0,福建省,CONSUME,1.0,,26.072658,119.246885,ANDROID,False,0
AWJ_CODE,100000,,红河哈尼族彝族自治州,天泽劳务有限公司,O,17.0,APP,4,36.1,M,汉,5848,2,1.0,MATE,FRIENDS,1.0,70.0,云南省,CONSUME,1.0,,23.32093099389896,103.34269177473722,ANDROID,,0
LXJ_CODE,100000,,毕节市,桔子花开,Z,90.0,APP,2,23.3,F,汉,2602,4,1.0,MATE,FRIENDS,1.0,100.0,贵州省,CONSUME,1.0,,29.893770140910128,120.16604048555446,ANDROID,,0
AWJ_CODE,100000,103.0,潍坊市,旭东手机大卖场,H,54.0,APP,4,29.2,F,汉,554,2,1.0,FATHER,MOTHER,2.0,86.63894,山东省,CONSUME,2.0,,36.884087842199,118.915460555445,ANDROID,,0
LXJ_CODE,100000,105.0,遵义市,京东方华灿光电,Z,90.0,XCX,2,26.1,M,汉,882,2,1.0,FATHER,MOTHER,2.0,79.112,贵州省,CONSUME,1.0,,29.410457628038195,120.12913004557292,ANDROID,False,0
XYF_CODE,10000,,六盘水市,康之家大药房,Z,90.0,APP,2,28.5,F,汉,1852,4,,MATE,FRIENDS,1.0,70.0,贵州省,CONSUME,,12.0,22.584054633246527,112.8875998263889,ANDROID,,0
RONG_CODE,100000,,荆州市,浩宇制衣,,,APP,2,37.6,M,汉,5988,2,1.0,FATHER,FRIENDS,2.0,70.0,湖北省,CONSUME,1.0,,29.860353,112.962526,ANDROID,,0
AWJ_CODE,100000,,荆州市,浩宇制衣,Z,90.0,APP,2,37.6,M,汉,5988,2,1.0,FATHER,FRIENDS,2.0,70.0,湖北省,CONSUME,1.0,,29.860353,112.962526,ANDROID,,0
AWJ_CODE,100000,,重庆市,T3出行,Z,90.0,APP,2,30.8,M,汉,5809,4,1.0,FATHER,SIBLING,2.0,96.2,重庆市,CONSUME,1.0,,29.83871344451416,106.70278735925488,ANDROID,,0
XYF_CODE,10000,,南通市,许卫锋个人工作室,Z,90.0,APP,2,34.9,M,汉,6720,3,,PARENTS,RELATIVES,3.0,70.0,江苏省,CONSUME,,12.0,28.191068,112.973531,ANDROID,False,0
RONG_CODE,100000,105.0,长沙市,学成教育,,,APP,4,48.9,M,汉,719,2,1.0,MATE,COLLEAGUE,1.0,82.73,湖南省,CONSUME,2.0,,28.20314860881712,112.96735184845518,ANDROID,,0
RONG_CODE,100000,,汕头市,刘妙芬个人工作室,,,XCX,2,31.0,F,汉,6688,2,1.0,MATE,SIBLING,1.0,70.0,广东省,CONSUME,1.0,,23.15486390078831,113.32292794595614,ANDROID,,0
AWJ_CODE,100000,,岳阳市,深圳广利模具有限公司,C,24.0,APP,2,38.9,M,汉,3063,4,1.0,PARENTS,FRIENDS,2.0,70.0,湖南省,CONSUME,1.0,,22.714825,114.295045,ANDROID,,0
LXJ_CODE,100000,104.0,安康市,武汉文理学院,P,13.0,APP,4,33.6,F,汉,4604,4,1.0,FATHER,MATE,1.0,70.0,陕西省,CONSUME,2.0,,30.503911,114.152362,ANDROID,,0
RONG_CODE,100000,403.0,湛江市,海天诚一次性餐具,,,APP,2,54.1,M,汉,99999,2,1.0,MATE,CHILDREN,1.0,70.0,广东省,CONSUME,1.0,,22.64904522010651,113.872577582859,ANDROID,,0
LXJ_CODE,100000,,普洱市,恒淞酒店,Z,90.0,APP,2,39.8,M,哈尼,5799,2,1.0,FATHER,FRIENDS,2.0,95.51,云南省,CONSUME,1.0,,23.14797153451671,101.85749093163716,ANDROID,,0
RONG_CODE,100000,104.0,亳州市,许诺个人工作室,,,APP,4,29.5,M,汉,872,2,1.0,FATHER,SIBLING,2.0,89.49,安徽省,CONSUME,1.0,,30.65557483855032,104.09555622718442,IOS,,0
AWJ_CODE,100000,102.0,徐州市,江苏巅峰科技有限公司,G,13.0,APP,3,25.2,F,汉,1435,2,1.0,FATHER,RELATIVES,2.0,82.21274,江苏省,CONSUME,1.0,,34.44496144527687,117.49306929318104,IOS,,0
LXJ_CODE,100000,,伊春市,白玉兰酒店,I,54.0,XCX,2,27.7,F,汉,1055,4,1.0,FATHER,SIBLING,2.0,70.0,黑龙江省,CONSUME,1.0,,31.341349283854168,120.6104847547743,ANDROID,,0
AWJ_CODE,100000,104.0,内江市,深圳视觉科技有限公司,Z,90.0,APP,2,36.1,M,汉,4773,2,1.0,SIBLING,FRIENDS,2.0,70.0,四川省,CONSUME,1.0,,22.697422496770773,114.00827187462716,ANDROID,,0
AWJ_CODE,100000,,商丘市,宁波市海曙区豫农钢结构有限公司,Z,90.0,APP,2,27.6,M,汉,908,4,1.0,MATE,FATHER,1.0,79.0,河南省,CONSUME,1.0,,29.91555598534916,121.509685982171,ANDROID,,0
AWJ_CODE,100000,105.0,永州市,任节明个人工作室,Z,90.0,APP,3,37.6,M,汉,5964,4,1.0,SIBLING,COLLEAGUE,1.0,70.0,湖南省,CONSUME,1.0,,24.785712890625,112.3679074435764,ANDROID,,0
LXJ_CODE,100000,,亳州市,好彩头新加坡料理,Z,90.0,APP,2,35.4,M,汉,3892,4,1.0,MATE,FRIENDS,1.0,98.1,安徽省,CONSUME,1.0,,33.24805624311292,116.05583995838056,ANDROID,,1
AWJ_CODE,100000,103.0,昆明市,维西县文化和旅游局,S,11.0,APP,4,42.0,F,藏,3636,3,1.0,RELATIVES,FRIENDS,2.0,70.0,云南省,CONSUME,1.0,,27.176957858972177,99.30270164698052,ANDROID,,0
RONG_CODE,100000,,咸阳市,浙江恒拓电子科技有限公司,,,APP,3,32.3,M,汉,7150,3,1.0,MOTHER,FRIENDS,2.0,70.0,陕西省,CONSUME,1.0,,30.73024708442311,120.87564089702458,ANDROID,,0
RONG_CODE,100000,302.0,长沙市,湖南润熹高科有限公司,,,APP,4,39.0,M,汉,5269,3,1.0,FRIENDS,MATE,1.0,70.0,湖南省,CONSUME,1.0,,28.282587094637776,113.4599211160295,ANDROID,,0
AWJ_CODE,100000,102.0,荆州市,赤壁市军哥卷闸门经销店,H,54.0,APP,3,40.0,M,汉,3847,3,1.0,PARENTS,FRIENDS,1.0,70.0,湖北省,CONSUME,1.0,,29.722569,113.881709,ANDROID,,0
RONG_CODE,100000,,商丘市,物流有限公司,,,APP,2,25.4,M,汉,1360,4,1.0,RELATIVES,FRIENDS,2.0,70.0,河南省,CONSUME,1.0,,37.52320555674012,121.45438748000058,ANDROID,,0
RONG_CODE,100000,,白山市,上海俟河企业管理有限公司,,,APP,4,30.1,M,汉,117,4,1.0,FRIENDS,SIBLING,2.0,70.0,吉林省,CONSUME,1.0,,31.13771294487848,121.57108317057292,ANDROID,,0
RONG_CODE,100000,103.0,温州市,谢池社区,,,XCX,3,27.2,M,汉,1027,4,1.0,RELATIVES,FRIENDS,2.0,70.0,浙江省,CONSUME,1.0,,28.010919459788536,120.73577728048711,ANDROID,,0
RONG_CODE,100000,,琼海市,务农用户,,,APP,2,32.6,F,汉,5939,3,1.0,MATE,RELATIVES,1.0,70.0,海南省,CONSUME,1.0,,19.335898,110.535266,ANDROID,,0
LXJ_CODE,100000,,琼海市,务农用户,Z,90.0,APP,2,32.6,F,汉,5939,3,1.0,MATE,RELATIVES,1.0,70.0,海南省,CONSUME,1.0,,19.335898,110.535266,ANDROID,False,0
LXJ_CODE,100000,,阳泉市,华阳集团公司一矿,C,24.0,APP,4,32.8,M,汉,6237,2,1.0,MATE,FRIENDS,1.0,70.0,山西省,CONSUME,2.0,,37.84434,113.60129,ANDROID,False,0
RONG_CODE,100000,,四平市,丝美域科技有限公司,,,APP,3,24.0,M,汉,753,4,1.0,FATHER,SIBLING,2.0,94.29,吉林省,CONSUME,1.0,,39.96012604619275,116.4542153656042,ANDROID,,0
RONG_CODE,100000,,昆明市,易峰有限公司,,,XCX,4,23.1,M,汉,1985,2,1.0,FATHER,FRIENDS,2.0,92.0998,云南省,CONSUME,1.0,,24.92284771178068,103.1478995200196,ANDROID,,0
RONG_CODE,100000,,吉林市,聖伽搏击馆,,,APP,4,28.6,M,汉,740,4,1.0,FATHER,FRIENDS,2.0,100.0,吉林省,CONSUME,1.0,,43.835992,125.372941,ANDROID,,0
AWJ_CODE,100000,,上海市,完美珠宝商贸有限公司,H,54.0,APP,3,36.9,F,汉,4875,4,1.0,MATE,FRIENDS,1.0,70.0,上海市,CONSUME,1.0,,31.219465,121.467998,ANDROID,,1
RONG_CODE,100000,105.0,深圳市,中国电信深圳分公司,,,APP,3,36.7,F,汉,5354,4,1.0,FATHER,MATE,1.0,70.0,广东省,CONSUME,1.0,,22.5564428643346,114.12164149296412,ANDROID,,0
AWJ_CODE,100000,309.0,重庆市,重庆惠制医药有限公司,M,11.0,XCX,4,46.1,F,汉,32,2,1.0,FATHER,FRIENDS,1.0,93.32398,重庆市,CONSUME,1.0,,29.54329495882,106.51878914198564,IOS,,0
RONG_CODE,100000,308.0,辽源市,众唐电子信息服务有限公司,,,APP,2,41.8,M,汉,3346,4,1.0,COLLEAGUE,MOTHER,1.0,70.0,吉林省,CONSUME,1.0,,36.71348172135406,119.1288929825677,ANDROID,,0
RONG_CODE,100000,307.0,天津市,中国联通,,,XCX,3,40.7,M,汉,3274,2,,FRIENDS,COLLEAGUE,1.0,70.0,天津市,CONSUME,1.0,,39.11697564019097,117.15533474392362,ANDROID,,0
RONG_CODE,100000,103.0,新余市,袁雅文个人工作室,,,APP,4,33.0,F,汉,6345,4,1.0,MATE,MOTHER,2.0,85.164,江西省,CONSUME,1.0,,27.860093285103204,114.65210409587984,ANDROID,,0
AWJ_CODE,100000,,铜陵市,大家人寿保险公司,Z,90.0,XCX,4,29.7,M,汉,6538,3,1.0,MOTHER,OTHER,2.0,70.0,安徽省,CONSUME,1.0,,30.945871853298613,117.82468505859374,ANDROID,,0
JY_CODE,100000,105.0,昆明市,创语公司,Z,90.0,APP,2,33.9,M,回,7102,3,1.0,MATE,COLLEAGUE,1.0,88.374,云南省,CONSUME,2.0,,21.234299,101.686672,ANDROID,,0
AWJ_CODE,100000,102.0,西安市,西安铁路局,F,17.0,APP,4,42.6,M,汉,2104,3,1.0,FRIENDS,COLLEAGUE,1.0,70.0,陕西省,CONSUME,2.0,,34.278243,108.891896,ANDROID,,1
RONG_CODE,100000,,宿州市,宿州市新日旗舰店,,,APP,3,22.5,M,汉,2330,3,1.0,PARENTS,MOTHER,2.0,70.0,安徽省,CONSUME,1.0,,33.626801468692285,117.07116815200985,ANDROID,,0
RONG_CODE,100000,102.0,洛阳市,浙江东田科技有限公司,,,XCX,3,24.0,M,汉,2393,2,1.0,RELATIVES,RELATIVES,2.0,87.86,河南省,CONSUME,1.0,,29.269884309357288,120.2970644286884,ANDROID,,0
AWJ_CODE,100000,102.0,六安市,明牛服饰,H,54.0,XCX,2,47.2,M,汉,4165,3,1.0,MATE,CHILDREN,1.0,94.673,安徽省,CONSUME,1.0,,31.7739991551615,116.59151106371182,ANDROID,,0
